Borough,Block,Lot,BIN, Building,Agency,2010 Score *,2010Source EUI (kBtu/ft²)*,2010 GHG Emissions Intensity (kgCO2e/ft²)*,2014 Score *,2014 Source EUI (kBtu/ft²)*,2014 GHG Emissions Intensity (kgCO2e/ft²)*
3,6343,64,3165745,New Utrecht Branch Library,BPL,Not Available,237,6.7,Not Available,236.8,7.1
3,6709,54,3179706,Midwood Branch Library,BPL,Not Available,261.4,7.3,Not Available,218.6,6.3
3,6783,68,3182576,Kings Highway Branch Library,BPL,Not Available,218.1,6.6,Not Available,226.2,7
3,7019,43,3189001,Coney Island Branch Library and Learning Ctr.,BPL,Not Available,223.4,6.9,Not Available,219.1,6.8
3,7405,920,3202630,Kings Bay Branch Library,BPL,Not Available,263.6,7.2,Not Available,262.7,7.8
3,7868,39,3219626,Flatlands Branch Library,BPL,Not Available,237.8,7.1,Not Available,191.8,6.3
3,8680,32,3245028,Brighton Beach Branch Library,BPL,Not Available,263.6,7.7,Not Available,283,9.7
1,16,10,1084594,Museum of Jewish Heritage,CIG,Not Available,461.8,12,Not Available,446.9,11.8
1,34,37,1000866,Police Museum,CIG,Not Available,246.3,8,Not Available,18.1,0.5
1,544,16,1008774,The Public Theater,CIG,Not Available,349.8,9.1,Not Available,625.7,19.5
1,1008,15,1023391,New York City Center Campus: New York City Center,CIG,Not Available,142.6,6,Not Available,180.5,6.6
1,1009,1,1023449,Carnegie Hall,CIG,Not Available,236.1,9.2,Not Available,302.2,10.2
1,1111,1,1083810,Metropolitan Museum of Art,CIG,Not Available,482.1,19.4,Not Available,522.2,18.9
1,1130,1,1083846,American Museum of Natural History,CIG,Not Available,326.5,12.8,Not Available,341.3,12.3
1,1134,1,1081022,David H. Koch Theater (Leased),CIG,Not Available,326.8,14.6,Not Available,367.6,14.8
1,1134,1,1081023,Lincoln Center Campus: Avery Fisher Hall,CIG,Not Available,11.1,0.5,Not Available,10.1,0.3
1,1134,1,1081022,Lincoln Center Campus: Metropolitan Opera House,CIG,Not Available,11.1,0.5,Not Available,10.1,0.3
4,10093,1,4438731,Queens Family Court,DCAS,39,289.1,8.7,37,280.9,8.5
1,1137,1,1000000,Lincoln Center Campus: Lincoln Center Garage (Rose Building) (Leased),CIG,Not Available,11.1,0.5,Not Available,10.1,0.3
1,1137,1,1000000,Lincoln Center Campus: Lincoln Center Garage / Plaza,CIG,Not Available,11.1,0.5,Not Available,10.1,0.3
1,1137,7501,1077844,Lincoln Center Campus: Samuel B. & David Rose Building,CIG,Not Available,11.1,0.5,Not Available,10.1,0.3
1,1570,29,1050735,Metropolitan Museum of Art Storage,CIG,1,499.3,16.5,1,551.9,19.4
1,1609,1,1074157,Museum of the City of New York,CIG,Not Available,240.3,8,Not Available,312.2,9.7
1,1610,1,1051499,El Museo Del Barrio,CIG,Not Available,412,10.7,Not Available,401.8,10.6
1,1909,9,1057819,The Studio Museum in Harlem (Leased),CIG,Not Available,271,7,Not Available,339,9
1,2179,701,1064383,"The Cloisters, Fort Tryon Park and MET (Leased)",CIG,Not Available,312.2,8.1,Not Available,412.3,10.9
2,2462,1,2002826,Bronx Museum of the Arts,CIG,Not Available,355.1,11.4,Not Available,326.2,10.7
2,3120,20,2123911,Bronx Zoo Campus: Administration East,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Administration West,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Aquatic Bird House,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Bronx Zoo Store,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Center for Global Conservation,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Congo Gorilla Forest,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Dancing Crane,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Farm Apartments,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Heads & Horns,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Jungle World,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Madagascar (Old Lion House),CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Monkey House,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Mouse House,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Reptile House,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Sea Lion Exhibit,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Seabird Aviary (Aitken),CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,"Bronx Zoo Campus: Shelter Bldg (Elephant, Rhino, Tiger)",CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: TOPS,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Wildlife Health Center,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: World of Birds,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Zoo Center,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3272,1,2820080,New York Botanical Garden Campus: Charles B. Harding Laboratory Building,CIG,Not Available,121.3,3.7,Not Available,381,12.8
